ppm	X1	X2	X3	X4	X5	X6
11.75459	-57.641	36.81	-12.727	-124.093	-38.765	-120.97
11.75416	-13.884	72.287	-64.725	-36.106	5.145	-120.97
11.75374	81.063	35.108	-61.285	11.37	61.039	-24.979
11.75331	29.291	-59.205	-64.589	35.253	78.646	121.151
11.75288	-45.153	-97.452	-35.51	-6.024	35.473	-46.147
11.75246	-119.074	-75.474	99.399	20.019	-1.314	-11.165
11.75203	-120.062	17.447	146.177	31.854	-97.883	54.723
11.7516	-2.531	90.092	63.299	70.642	-141.04	60.463
11.75118	88.027	-25.53	21.968	2.472	-86.547	-33.8
11.75075	104.76	-50.374	-17.705	-12.826	-81.874	-76.338
11.75032	25.938	-39.597	21.243	10.745	-25.246	-54.708
11.7499	36.903	34.707	52.239	1.883	38.78	20.393
11.74947	0.13	14.201	8.464	58.437	54.669	107.659
11.74905	62.127	20.167	-18.26	69.926	178.964	78.42
11.74862	56.289	105.591	7.024	20.516	56.973	14.079
11.74819	102.435	47.556	-28.501	-129.769	-14.891	41.023
11.74777	95.005	-9.564	-52.137	47.811	-3.175	4.726
11.74734	108.343	-31.606	-13.523	53.178	30.311	-16.156
11.74691	63.445	-44.027	-21.665	-16.338	-23.347	-70.398
11.74649	35.979	21.551	31.069	28.695	-146.146	-26.961
11.74606	26.69	30.29	34.688	-24.469	-83.431	17.259
11.74563	-179.23	-47.319	-70.949	-41.12	-10.597	-29.053
11.74521	-191.356	-10.462	-56.449	-59.964	1.481	-107.529
11.74478	-76.019	76.957	-78.511	-102.483	-53.791	-141.248
11.74435	19.244	15.64	-19.784	-46.418	61.385	-56.441
11.74393	45.121	-59.476	41.035	-22.584	-16.852	73.391
11.7435	25.165	-53.588	-10.053	34.137	-40.931	70.088
11.74308	-40.833	44.347	8.813	17.427	-2.854	28.961
11.74265	-30.773	89.341	6.252	46.622	-13.69	66.456
11.74222	-88.991	29.434	-103.813	47.072	23.906	124.586
11.7418	-64.394	-62.318	-43.66	88.792	53.584	54.191
11.74137	-140.418	-95.57	-12.311	57.799	0.901	-86.95
11.74094	-101.795	-9.72	20.073	42.146	-9.802	-31.57
11.74052	1.785	11.574	16.381	68.248	-27.767	-105.88
11.74009	65.899	-9.52	131.632	9.976	-19.562	-86.395
11.73966	-2.334	42.323	105.5	-45.544	39.407	-0.735
11.73924	39.052	180.552	27.338	54.136	10.417	53.462
11.73881	131.81	87.853	23.141	59.151	50.875	84.015
11.73839	58.774	-27.632	-4.412	36.119	66.897	15.446
11.73796	45.274	-19.405	-35.18	-23.649	116.277	109.309
11.73753	-18.051	-11.432	-46.406	-124.789	30.907	86.983
11.73711	95.603	51.707	18.55	-33.577	-25.229	87.346
11.73668	19.937	-49.58	-6.429	18.292	-13.24	18.129
11.73625	1.136	-84.744	-49.04	-64.44	-44.466	-20.979
11.73583	55.051	-10.111	-16.271	-2.517	-36.776	44.041
11.7354	-2.46	-23.884	42.06	109.593	60.69	22.71
11.73497	-14.44	-48.877	-3.617	47.825	-67.598	-83.156
11.73455	31.657	-70.749	-5.078	53.53	-24.693	-101.373
11.73412	29.27	5.279	17.924	-47.006	9.867	19.209
11.7337	-31.143	102.32	-78.384	-122.422	-85.381	-14.632
11.73327	17.559	9.035	7.259	-75.586	90.786	-10.861
11.73284	30.914	68.159	11.454	-49.154	-6.654	62.767
11.73242	-76.889	45.44	-46.949	-88.324	-9.349	100.998
11.73199	-47.497	-114.243	-49.233	-37.447	54.87	-71.101
11.73156	70.136	-154.072	29.876	-94.73	-77.815	16.975
11.73114	-48.626	-157.191	2.464	-117.103	-13.667	19.076
11.73071	61.339	0.69	-78.007	-15.246	10.297	-56.308
11.73028	14.368	36.085	-52.128	73.009	5.734	-0.203
11.72986	-72.562	-48.882	54.785	101.009	2.394	-48.784
11.72943	-93.294	-24.937	84.641	8.536	98.047	-69.81
11.729	-23.379	24.503	63.177	-62.362	81.046	-55.602
11.72858	65.318	9.914	-10.601	-36.752	65.708	4.927
11.72815	22.428	-30.74	34.324	86.074	31.54	-65.97
11.72773	-83.86	65.882	12.862	92.199	36.199	-48.325
