Metabolite,pos_in_ppm,couple_code,J_constant,no_of_protons,overwrite_pos,overwrite_var,overwrite_truncation,Include_multiplet
(-)-Limonene,1.65,0,,3,n,n,n,1
(-)-Limonene,1.73,0,,3,n,n,n,1
(+)-(S)-Carvone,1.75,0,,3,n,n,n,1
(+)-Limonene,1.65,0,,3,n,n,n,1
(+)-Limonene,1.73,0,,3,n,n,n,1
(R)-3-Hydroxybutyric acid,1.204,1,6.26,3,n,n,n,1
(R)-3-Hydroxybutyric acid,2.326,"1,1","14.36,6.29",1,n,n,n,1
(R)-3-Hydroxybutyric acid,2.402,"1,1","14.39,7.33",1,n,n,n,1
(R)-3-Hydroxybutyric acid,4.16,"1,2","7.22,6.31",1,n,n,n,1
(R)-3-Hydroxyisobutyric acid,1.11,1,7.09,3,n,n,n,1
(S)-3-Hydroxybutyric acid,2.45,1,6.59,2,n,n,n,1
(S)-3-Hydroxybutyric acid,1.21,1,6.32,3,n,n,n,1
(S)-3-Hydroxyisobutyric acid,1.14,1,7.09,4,n,n,n,1
1-Butanol,0.89,2,7.43,3,n,n,n,1
1-Butanol,3.59,2,6.63,2,n,n,n,1
1-Hexadecanol,3.53,2,6.68,2,n,n,n,1
1-Methyladenosine,3.84,0,,3,n,n,n,1
1-Methyladenosine,4.46,2,4.73,1,n,n,n,1
1-Methyladenosine,4.76,2,5.23,1,n,n,n,1
1-Methyladenosine,6.09,1,5.34,1,n,n,n,1
1-Methyladenosine,8.4,0,,1,n,n,n,1
1-Methyladenosine,8.46,0,,1,n,n,n,1
1-Methylhistamine,2.92,2,7.06,2,n,n,n,1
1-Methylhistamine,3.25,2,7.08,2,n,n,n,1
1-Methylhistamine,3.69,0,,3,n,n,n,1
1-Methylhistidine,7.67,0,0,1,n,n,n,1
1-Methylhistidine,7,0,0,1,n,n,n,1
1-Methylhistidine,3.96,"1,1","7.66,4.92 ",2,n,n,n,1
1-Methylhistidine,3.68,0,0,4,n,n,n,1
1-Methylinosine,3.63,0,,3,n,n,n,1
1-Methylinosine,3.75,"1,1","12.32,3.30",1,n,n,n,1
1-Methylinosine,3.86,"1,1","12.32,2.97",1,n,n,n,1
1-Methylinosine,4.32,"1,1","5.12,3.63",1,n,n,n,1
